Wall time,Step,Value
1783238210.4279432,500,25.968833923339844
1783238211.2272587,1000,27.174110412597656
1783238212.086176,1500,29.482032775878906
1783238212.907934,2000,34.64897155761719
1783238213.756203,2500,38.030616760253906
1783238214.584795,3000,39.450584411621094
1783238215.4376023,3500,39.85419464111328
1783238216.3181412,4000,39.89860534667969
1783238217.1689327,4500,39.84162521362305
1783238218.0072734,5000,39.89860534667969
1783238218.7757602,5500,40.0
1783238219.7244344,6000,40.0
1783238220.513613,6500,40.0
1783238221.4120367,7000,40.0
1783238222.4619784,7500,39.955589294433594
1783238223.4721873,8000,39.97258758544922
1783238224.45173,8500,39.97258758544922
1783238225.39116,9000,39.97258758544922
1783238226.267516,9500,39.97258758544922
1783238227.20633,10000,40.0
1783238228.061363,10500,40.0
1783238228.958232,11000,40.0
1783238229.826057,11500,40.0
1783238230.7015307,12000,40.0
1783238232.667384,12500,40.0
1783238233.7286556,13000,39.955589294433594
1783238234.7324514,13500,39.98100662231445
1783238235.6951969,14000,39.98100662231445
1783238236.6600606,14500,40.0
1783238237.9177654,15000,40.0
1783238239.0255203,15500,40.0
1783238239.9966424,16000,40.0
1783238240.9154625,16500,40.0
1783238242.0891626,17000,40.0
1783238243.300045,17500,40.0
1783238244.3199465,18000,40.0
1783238245.3182237,18500,40.0
1783238246.3154001,19000,40.0
1783238247.2886515,19500,40.0
1783238248.3434517,20000,40.0
1783238249.4598973,20500,40.0
1783238250.8132424,21000,40.0
1783238251.9007852,21500,40.0
1783238252.9470596,22000,40.0
1783238254.144185,22500,40.0
1783238255.1643863,23000,39.955589294433594
1783238256.028416,23500,40.0
1783238256.8916335,24000,40.0
1783238257.8531482,24500,40.0
1783238258.8481812,25000,40.0
1783238259.8290114,25500,40.0
1783238260.6920593,26000,40.0
1783238261.5441892,26500,40.0
1783238262.3898883,27000,40.0
1783238263.2398064,27500,40.0
1783238264.1031406,28000,40.0
1783238265.079993,28500,40.0
1783238265.9340205,29000,40.0
1783238266.887029,29500,40.0
1783238267.75694,30000,40.0
1783238268.6046493,30500,40.0
1783238269.6714792,31000,40.0
1783238270.6435416,31500,40.0
1783238271.5032713,32000,40.0
1783238272.3727174,32500,40.0
1783238273.2353146,33000,40.0
1783238274.1028302,33500,40.0
1783238275.156299,34000,40.0
1783238276.082457,34500,40.0
1783238276.9384358,35000,40.0
1783238277.7997634,35500,40.0
1783238278.6513689,36000,40.0
1783238279.5069273,36500,40.0
1783238280.4984307,37000,40.0
1783238281.4154131,37500,40.0
1783238282.28413,38000,40.0
1783238283.160087,38500,40.0
1783238284.027668,39000,40.0
1783238284.8760617,39500,40.0
1783238285.7361472,40000,40.0
1783238286.6369715,40500,40.0
1783238287.5614078,41000,40.0
1783238288.4749744,41500,40.0
1783238289.4323041,42000,40.0
1783238290.3010938,42500,40.0
1783238291.1632724,43000,40.0
1783238292.1091914,43500,40.0
1783238292.9915478,44000,40.0
1783238293.8404717,44500,40.0
1783238294.6979969,45000,40.0
1783238295.5603094,45500,40.0
1783238296.4016287,46000,40.0
1783238297.2600377,46500,40.0
1783238298.1229825,47000,40.0
1783238298.981932,47500,40.0
1783238299.8438478,48000,40.0
1783238300.6951537,48500,40.0
1783238301.548362,49000,40.0
1783238302.406671,49500,40.0
1783238303.2575972,50000,40.0
1783238304.1050756,50500,40.0
1783238304.957959,51000,40.0
1783238305.8014698,51500,40.0
1783238306.660627,52000,40.0
1783238307.5199177,52500,40.0
1783238308.3759964,53000,40.0
1783238309.3771966,53500,40.0
1783238310.4702864,54000,40.0
1783238312.1107776,54500,40.0
1783238313.5349212,55000,40.0
1783238314.830977,55500,40.0
1783238316.1060622,56000,40.0
1783238317.327931,56500,40.0
1783238318.4812763,57000,40.0
1783238319.5861542,57500,40.0
1783238321.007809,58000,40.0
1783238322.0927532,58500,40.0
1783238323.1463127,59000,40.0
1783238324.170131,59500,40.0
1783238325.2503018,60000,40.0
1783238326.355885,60500,40.0
1783238327.495157,61000,40.0
1783238328.6017478,61500,40.0
1783238330.0185785,62000,40.0
1783238331.956832,62500,40.0
1783238333.5030596,63000,40.0
1783238334.963008,63500,40.0
1783238336.830013,64000,40.0
1783238338.4560947,64500,40.0
1783238340.0672858,65000,40.0
1783238341.6200044,65500,40.0
1783238343.3661282,66000,40.0
1783238345.1759036,66500,40.0
1783238346.9363172,67000,40.0
1783238349.0172536,67500,40.0
1783238350.8657055,68000,40.0
1783238352.21323,68500,40.0
1783238353.4896195,69000,40.0
1783238354.8008804,69500,40.0
1783238356.052263,70000,40.0
1783238357.4125662,70500,40.0
1783238358.7501888,71000,40.0
1783238360.061089,71500,40.0
1783238362.92015,72000,40.0
1783238364.8450422,72500,40.0
1783238366.3299937,73000,40.0
1783238367.6842973,73500,40.0
1783238368.952193,74000,40.0
1783238370.4130251,74500,40.0
1783238371.773265,75000,40.0
1783238373.1652567,75500,40.0
1783238374.5971491,76000,40.0
1783238375.9161158,76500,40.0
1783238377.284548,77000,40.0
1783238378.5714478,77500,40.0
1783238379.872567,78000,40.0
1783238381.0739915,78500,40.0
1783238382.4117215,79000,40.0
1783238383.8520303,79500,39.97258758544922
1783238385.2075841,80000,40.0
1783238386.6234982,80500,40.0
1783238387.9039297,81000,40.0
1783238389.3290439,81500,40.0
1783238390.6655965,82000,40.0
1783238391.9777672,82500,40.0
1783238393.2357728,83000,40.0
1783238394.5229201,83500,40.0
1783238395.92389,84000,40.0
1783238397.8540723,84500,40.0
1783238399.315643,85000,40.0
1783238400.7457008,85500,40.0
1783238402.1618469,86000,40.0
1783238403.438459,86500,40.0
1783238405.0112329,87000,40.0
1783238406.617072,87500,40.0
1783238407.945853,88000,40.0
1783238409.2326744,88500,40.0
1783238410.4926627,89000,40.0
1783238411.766743,89500,40.0
1783238413.1198866,90000,40.0
1783238414.407707,90500,40.0
1783238415.644312,91000,40.0
1783238416.8717704,91500,40.0
1783238418.1567645,92000,40.0
1783238419.4539332,92500,40.0
1783238420.728933,93000,40.0
1783238422.3582835,93500,40.0
1783238424.4977694,94000,40.0
1783238426.3619943,94500,40.0
1783238427.831337,95000,40.0
1783238429.1425116,95500,40.0
1783238430.6223722,96000,40.0
1783238432.3545408,96500,40.0
1783238434.0222085,97000,40.0
1783238435.3132594,97500,40.0
1783238436.6179695,98000,40.0
1783238437.9029813,98500,40.0
1783238439.421303,99000,40.0
1783238440.6287045,99500,40.0
1783238441.9367113,100000,40.0
1783238443.2000005,100500,40.0
1783238444.4872694,101000,40.0
1783238445.740793,101500,40.0
1783238446.9816124,102000,40.0
1783238448.397699,102500,40.0
1783238450.2548501,103000,40.0
1783238451.7701592,103500,40.0
1783238453.2446778,104000,40.0
1783238454.5293078,104500,40.0
1783238455.7452724,105000,40.0
1783238456.9804316,105500,40.0
1783238458.258004,106000,40.0
1783238459.6090662,106500,40.0
1783238460.9952073,107000,40.0
1783238462.3735237,107500,40.0
1783238463.6235576,108000,40.0
1783238464.9530833,108500,40.0
1783238466.2418048,109000,40.0
1783238467.5156007,109500,40.0
1783238468.8391511,110000,40.0
1783238470.225645,110500,40.0
1783238471.531964,111000,40.0
1783238472.8004496,111500,40.0
1783238474.1405222,112000,40.0
1783238475.407022,112500,40.0
1783238476.6651735,113000,40.0
1783238478.15287,113500,40.0
1783238479.4276881,114000,40.0
1783238480.7971146,114500,40.0
1783238482.14842,115000,40.0
1783238483.7565775,115500,40.0
1783238485.401507,116000,40.0
1783238486.8009381,116500,40.0
1783238488.2115066,117000,40.0
1783238489.5462503,117500,40.0
1783238490.8341603,118000,40.0
1783238492.1135736,118500,40.0
1783238493.4176292,119000,40.0
1783238494.7403202,119500,40.0
1783238496.1478558,120000,40.0
1783238497.6264076,120500,40.0
1783238498.970966,121000,40.0
1783238500.1945195,121500,40.0
1783238501.7410066,122000,40.0
1783238503.3262396,122500,40.0
1783238504.9928584,123000,40.0
1783238506.2811575,123500,40.0
1783238507.543441,124000,40.0
1783238508.942493,124500,40.0
