Wall time,Step,Value
1783236872.5398755,608,23.714941024780273
1783236872.5719821,800,23.86263656616211
1783236873.0110888,1312,24.09702491760254
1783236873.0629249,1376,24.116249084472656
1783236873.1367755,1472,24.300006866455078
1783236873.4203932,1824,24.57154655456543
1783236873.8413289,2304,24.450284957885742
1783236873.9428864,2400,24.049985885620117
1783236874.724787,3040,24.115577697753906
1783236875.0938911,3296,24.543251037597656
1783236875.2579386,3424,24.237184524536133
1783236876.022644,4064,23.890644073486328
1783236877.0385273,4992,24.89771270751953
1783236877.132447,5088,24.833553314208984
1783236877.4323392,5376,24.949172973632812
1783236877.8126545,5728,24.774356842041016
1783236877.9900515,5888,24.550134658813477
1783236878.0572379,5952,24.434974670410156
1783236879.546655,7360,24.701086044311523
1783236879.7104776,7520,24.84136199951172
1783236880.201524,8000,25.09389877319336
1783236880.3998778,8192,24.619426727294922
1783236880.5524566,8352,24.653921127319336
1783236880.788092,8576,25.506282806396484
1783236880.9866314,8768,25.70842170715332
1783236881.5832767,9376,25.946041107177734
1783236882.120386,9888,25.801288604736328
1783236882.1890788,9952,25.835233688354492
1783236882.4586372,10208,26.279674530029297
1783236882.8523445,10592,26.52530288696289
1783236883.1423776,10880,26.041851043701172
1783236883.4013252,11136,26.12474822998047
1783236883.956833,11648,26.64155387878418
1783236884.091561,11776,26.867664337158203
1783236885.9126117,13504,28.192052841186523
1783236885.9573607,13536,28.207761764526367
1783236886.561467,14080,27.73413848876953
1783236886.67045,14176,27.68926429748535
1783236886.7712896,14272,27.85317611694336
1783236887.262224,14752,27.81977081298828
1783236887.3496556,14848,27.99930763244629
1783236887.38397,14880,28.286605834960938
1783236887.7444334,15200,28.45823097229004
1783236888.4148815,15808,29.216461181640625
1783236889.1638474,16480,29.511632919311523
1783236889.7675567,17024,29.286771774291992
1783236889.9426644,17184,29.047359466552734
1783236890.8752377,18048,29.852388381958008
1783236891.236556,18368,30.520265579223633
1783236891.4501078,18560,30.757417678833008
1783236891.7012537,18784,30.161928176879883
1783236891.73356,18816,30.313350677490234
1783236892.279011,19296,29.923044204711914
1783236893.0423884,19872,30.568805694580078
1783236893.1665542,19936,30.6678524017334
1783236893.8725548,20320,30.56355857849121
1783236894.2906094,20544,30.58350372314453
1783236894.3323739,20576,30.59580421447754
1783236894.4803915,20640,30.755617141723633
1783236894.7268145,20736,30.84546661376953
1783236894.8347173,20800,30.86143684387207
1783236895.5859706,21184,30.646930694580078
1783236896.2222369,21504,30.924095153808594
1783236897.312732,22048,32.225486755371094
1783236899.118098,22880,32.13220977783203
1783236899.3485875,23008,31.86882209777832
1783236899.5876284,23136,32.065250396728516
1783236900.075096,23392,32.35012435913086
1783236900.6545174,23680,32.90190887451172
1783236901.6524165,24096,34.023712158203125
1783236901.9871442,24224,34.23929214477539
1783236902.6654365,24512,34.27853775024414
1783236902.9529781,24640,34.56834411621094
1783236903.0891805,24704,34.389652252197266
1783236903.2161584,24768,34.235023498535156
1783236903.6336265,24992,33.82572555541992
1783236903.9383314,25152,33.60909652709961
1783236904.068866,25216,33.689697265625
1783236904.3793457,25376,33.86262512207031
1783236904.4957185,25440,33.451988220214844
1783236904.7446823,25568,33.618194580078125
1783236904.9632907,25696,33.991493225097656
1783236905.3345504,25888,34.442352294921875
1783236905.4144166,25920,34.428707122802734
1783236906.7904391,26656,35.19876480102539
1783236906.9995167,26784,35.35239028930664
1783236909.3851976,27840,36.901668548583984
1783236909.8214114,28064,37.031620025634766
1783236910.2007155,28256,37.0953254699707
1783236911.0922894,28704,37.15767288208008
1783236911.4165745,28832,37.43834686279297
1783236912.0406353,29056,37.3912353515625
1783236912.2368865,29120,37.39126205444336
1783236912.7825518,29312,37.383995056152344
1783236912.957174,29376,37.636661529541016
1783236914.1674538,29824,38.236595153808594
1783236914.2352097,29856,38.347042083740234
1783236914.9187799,30176,38.65571975708008
1783236915.1446295,30272,38.7408561706543
1783236915.8325353,30560,38.80906295776367
1783236916.1056402,30688,38.8901481628418
1783236916.3948157,30816,38.81650161743164
1783236916.9915247,31104,38.86318588256836
1783236917.0766659,31136,38.80811309814453
1783236917.5926542,31328,38.77880096435547
1783236917.6766982,31360,38.72734069824219
1783236918.0000145,31520,38.668678283691406
1783236919.236955,32096,38.643714904785156
1783236919.4301286,32192,38.74077224731445
1783236919.9771945,32480,38.80540466308594
1783236922.035058,33440,38.44306564331055
1783236922.9346309,33856,38.77472686767578
1783236923.343374,34048,38.789485931396484
1783236923.5402462,34144,38.57197952270508
1783236923.6800485,34208,38.553306579589844
1783236923.9249763,34336,38.51422119140625
1783236924.2858586,34528,38.520076751708984
1783236924.566447,34688,38.57849884033203
1783236925.142702,35008,39.09438705444336
1783236925.524931,35200,39.13922119140625
1783236925.8381567,35360,39.28795623779297
1783236926.4579017,35680,39.21302032470703
1783236928.8908803,37024,38.812767028808594
1783236929.0914903,37152,38.636695861816406
1783236929.1491332,37184,38.67146301269531
1783236929.208621,37216,38.74026870727539
1783236930.2909427,37792,38.79511260986328
1783236931.1304862,38208,38.70613098144531
1783236931.98258,38624,39.00983428955078
1783236933.6951194,39456,38.603824615478516
1783236934.5029304,39840,38.82794952392578
1783236935.2123008,40192,39.19767761230469
1783236935.39234,40288,39.34038543701172
1783236935.6313374,40384,39.47454071044922
1783236936.8690455,41024,38.97180938720703
1783236937.2075157,41216,39.00352478027344
1783236937.6368082,41440,38.95137023925781
